rank,itemName,itemPrice,shopName,genreId
21,当店オススメ 新品 A4 ノートパソコン dynabook B65 【Windows10 Pro/Celeron 3867U/4GB/500GB/MULTI】 15.6インチ テンキー HDMI 無線LAN WPS Offce付き 激安 初心者 入門,49800,パソコンショップ＠フェローズ,100040
22,今だけ超得! 余裕の強力性能ならコレ! ノートパソコン 中古 16GB 新品爆速SSD 512GB マニュアル付き 安心サポート込み! 初期設定不要! すぐ使える! テンキー Windows10 Office付き 店長おまかせ強力性能ノート 中古パソコン 中古ノートパソコン,39999,中古パソコン　くじらや,100040
23,直販 ノートパソコン：Lenovo Chromebook S330 MediaTek MT8173C CPU搭載(14.0型 HD/4GBメモリー/32GB eMMC/Chrome OS/Officeなし/ビジネスブラック) 送料無料,19800,レノボ・ショッピング　楽天市場店,100040
24,dynabook PZ55/RB(W6PZ55PRBE)(Windows 10 Pro/Office付き/15.6型ワイドFHD 広視野角 /Core i5-10210U /256GB SSD/ブラック),129800,Dynabook Direct　楽天市場店,100040
25,マイクロソフト　Microsoft 5UI-00020 Surface Laptop 4(サーフェス ラップトップ 4) プラチナ [15.0型 /AMD Ryzen 7 /SSD：256GB /メモリ：8GB /2021年4月モデル],161480,楽天ビック（ビックカメラ×楽天）,100040
26,NEC　ノートパソコン　LAVIE　N12シリーズ［12．5型／intel　Core　i5／SSD：256GB／メモリ：8GB］　PC-N1255BAW パールホワイト,149777,コジマ楽天市場店,100040
27,マイクロソフト　Microsoft THJ-00020 Surface Laptop Go(サーフェス ラップトップ ゴー) プラチナ [12.4型 /intel Core i5 /SSD：256GB /メモリ：8GB /2020年10月モデル][12.4インチ office付き 新品 windows10],115280,楽天ビック（ビックカメラ×楽天）,100040
28,DELL　デル NI355LB-AWHBW ノートパソコン Inspiron 15 3000 ホワイト [15.6型 /intel Core i5 /SSD：256GB /メモリ：8GB /2020年秋冬モデル],109800,楽天ビック（ビックカメラ×楽天）,100040
29,マイクロソフト　Microsoft Surface Go2[eMMC 64GB/メモリ 4GB/Intel Pentium/プラチナ/2020年]STV-00012Windowsタブレット[サーフェスgo タブレット 本体 10インチ],59800,楽天ビック（ビックカメラ×楽天）,100040
30,dynabook BZ/HRB(W6BZHR3BAB)(Windows 10/Office付き/15.6型 HD /Core i3-10110U /DVDスーパーマルチ/256GB SSD/ブラック),90200,Dynabook Direct　楽天市場店,100040
